station_id,region_id,short_name,city
338,12,OK-L6-,OK
190,12,OK-F3,OK
191,12,OK-G2,OK
192,12,OK-G3,OK
193,12,OK-H9-1,OK
194,12,OK-H9-2,OK
195,12,OK-I6,OK
196,12,OK-I8,OK
197,12,OK-I9,OK
198,12,OK-J6-2,OK
200,12,OK-K9,OK
201,12,OK-L8,OK
189,12,OK-D2,OK
202,12,OK-M5,OK
204,12,OK-C3,OK
205,12,OK-C4,OK
206,12,OK-C5,OK
207,12,OK-D5,OK
209,12,OK-E3,OK
210,12,OK-E5,OK
211,12,OK-F5,OK
339,12,OK-L7,OK
213,12,OK-H2,OK
214,12,OK-H3,OK
215,12,OK-H4-3,OK
203,12,OK-N7,OK
216,12,OK-I3,OK
188,12,OK-C2,OK
186,12,OK-L7-2,OK
158,12,OK-E4,OK
159,12,OK-J3,OK
160,12,OK-M1,OK
162,12,OK-M6,OK
163,12,OK-M7,OK
164,12,OK-J4,OK
167,12,OK-A4,OK
168,12,OK-B1,OK
169,12,OK-B2,OK
170,12,OK-B3,OK
372,12,OK-K7,OK
187,12,OK-N6,OK
171,12,OK-B4,OK
173,12,OK-D3-1,OK
174,12,OK-D3-2,OK
175,12,OK-D4,OK
176,12,OK-F4,OK
177,12,OK-G4,OK
178,12,OK-H5,OK
179,12,OK-I5,OK
180,12,OK-J5,OK
181,12,OK-J6-1,OK
182,12,OK-K5-2,OK
183,12,OK-K5-1,OK
172,12,OK-B5,OK
217,12,OK-I4,OK
212,12,OK-G5,OK
219,12,OK-K3,OK
315,12,OK-E2,OK
7,12,OK-L5,OK
18,12,OK-A2,OK
218,12,OK-K2,OK
237,12,OK-N17,OK
236,12,OK-M3,OK
235,12,OK-M2,OK
234,12,OK-M16,OK
46,12,OK-L12,OK
233,12,OK-L9,OK
232,12,OK-L4,OK
337,12,OK-K6-,OK
230,12,OK-L2,OK
220,12,OK-K4,OK
221,12,OK-L10,OK
231,12,OK-L3,OK
224,12,OK-L13,OK
222,12,OK-L11,OK
229,12,OK-L19,OK
228,12,OK-L17,OK
226,12,OK-L15,OK
225,12,OK-L14,OK
227,12,OK-L16,OK
157,13,EM-C1,EM
156,13,EM-B2,EM
155,13,EM-B1,EM
409,13,EM-B0-2,EM
153,13,EM-A1,EM
152,13,EM-C3,EM
151,13,EM-C2,EM
150,13,EM-D4,EM
149,13,EM-D3,EM
148,13,EM-D2,EM
154,13,EM-A2,EM
267,14,BK-F10,BK
268,14,BK-G8,BK
269,14,BK-G9,BK
238,14,BK-C6,BK
270,14,BK-H3,BK
271,14,BK-G4,BK
273,14,BK-H8,BK
274,14,BK-G7,BK
166,14,BK-A3,BK
266,14,BK-F8,BK
263,14,BK-E2,BK
262,14,BK-D4,BK
239,14,BK-E9-1,BK
240,14,BK-E9-2,BK
241,14,BK-H6,BK
242,14,BK-F7,BK
243,14,BK-E10,BK
244,14,BK-C7,BK
245,14,BK-D7-1,BK
246,14,BK-D7-2,BK
247,14,BK-E8,BK
248,14,BK-H9,BK
249,14,BK-H10,BK
250,14,BK-C5,BK
252,14,BK-E7,BK
254,14,BK-A7,BK
255,14,BK-B7,BK
256,14,BK-B9,BK
257,14,BK-C1,BK
258,14,BK-C8,BK
259,14,BK-D1,BK
265,14,BK-F2,BK
251,14,BK-D5,BK
253,14,BK-E10-,BK
385,14,BK-I5,BK
340,14,BK-I6,BK
351,14,BK-D2,BK
489,3,SF-G10-1,SF
488,3,SF-AA28,SF
487,3,SF-C25,SF
486,3,SF-H13,SF
485,3,SF-J10,SF
483,3,SF-L27-2,SF
482,3,SF-K27-2,SF
481,3,SF-H16,SF
480,3,SF-F19,SF
479,3,SF-E22,SF
478,3,SF-B21,SF
477,3,SF-G9,SF
474,3,SF-G10-2,SF
471,3,SF-J14,SF
469,3,SF-H19,SF
468,3,SF-J22-2,SF
467,3,SF-I30-2,SF
466,3,SF-H12,SF
323,3,SF-C26,SF
465,3,SF-J29-3,SF
463,3,SF-V32,SF
462,3,SF-B28,SF
461,3,SF-L31-1,SF
460,3,SF-M30-2,SF
459,3,SF-Q26,SF
458,3,SF-M13,SF
490,3,SF-G11,SF
492,3,SF-E20,SF
336,3,SF-N26,SF
457,3,SF-M12,SF
523,3,SF-E21,SF
521,3,SF-J1,SF
520,3,SF-G7,SF
519,3,SF-K28-3,SF
518,3,SF-P26,SF
517,3,SF-F15,SF
516,3,SF-G5,SF
515,3,SF-F9,SF
514,3,SF-F16,SF
513,3,SF-M26-2,SF
512,3,SF-E18,SF
511,3,SF-H15,SF
510,3,SF-G20,SF
509,3,SF-U30,SF
508,3,SF-H17,SF
506,3,SF-G12,SF
505,3,SF-CC18,SF
504,3,SF-AA17,SF
321,3,SF-I27,SF
503,3,SF-BB17,SF
502,3,SF-Z16,SF
501,3,SF-Y16,SF
500,3,SF-B28-2,SF
499,3,SF-K23,SF
498,3,SF-Y14,SF
497,3,SF-X19,SF
496,3,SF-C22,SF
493,3,SF-J26-2,SF
456,3,SF-G13,SF
454,3,SF-J12,SF
285,3,SF-H20,SF
383,3,SF-I22,SF
381,3,SF-P21,SF
380,3,SF-I16,SF
377,3,SF-K15-,SF
376,3,SF-O30-2,SF
375,3,SF-J16,SF
373,3,SF-R26,SF
371,3,SF-B25,SF
370,3,SF-G25,SF
369,3,SF-G24,SF
368,3,SF-G23,SF
365,3,SF-I20,SF
384,3,SF-E23,SF
364,3,SF-K30-2,SF
362,3,SF-X30,SF
361,3,SF-V30,SF
360,3,SF-V29,SF
359,3,SF-Y27,SF
358,3,SF-Y29,SF
356,3,SF-L22,SF
355,3,SF-Q30,SF
352,3,SF-Y25,SF
350,3,SF-K26,SF
349,3,SF-I26-,SF
345,3,SF-M28,SF
343,3,SF I29-1,SF
363,3,SF-G29-1,SF
455,3,SF-J13,SF
386,3,SF-Q23-3,SF
390,3,SF-S29,SF
453,3,SF-J28-2,SF
451,3,SF-M11,SF
450,3,SF-M10,SF
324,3,SF-F26,SF
446,3,SF-H26-2,SF
445,3,SF-G28-2,SF
441,3,SF-B22,SF
440,3,SF-M15,SF
439,3,SF-G18,SF
438,3,SF-V28,SF
437,3,SF-V31,SF
436,3,SF-W29,SF
387,3,SF-U21,SF
435,3,SF-Y30,SF
433,3,SF-W14,SF
432,3,SF-X29,SF
431,3,SF-X14,SF
424,3,SF-C20,SF
419,3,SF-F23,SF
413,3,SF-AA15,SF
412,3,SF-W19,SF
411,3,SF-J22-1,SF
410,3,SF-S30,SF
400,3,SF-A20,SF
399,3,SF-B19,SF
398,3,SF-D24,SF
434,3,SF-Z28,SF
284,3,SF-H27-1,SF
3,3,SF-G27,SF
99,3,SF-M24,SF
76,3,SF-K22-2,SF
75,3,SF-K22-1,SF
74,3,SF-J21,SF
73,3,SF-K20,SF
72,3,SF-K19,SF
71,3,SF-K18,SF
70,3,SF-K17,SF
66,3,SF-J29-1,SF
64,3,SF-J28,SF
63,3,SF-J27,SF
62,3,SF-J26,SF
61,3,SF-J25,SF
60,3,SF-J24,SF
59,3,SF-J23-2,SF
58,3,SF-J23-1,SF
56,3,SF-K21,SF
55,3,SF-J20,SF
77,3,SF-K24,SF
54,3,SF-J19,SF
78,3,SF-K25,SF
80,3,SF-K28,SF
101,3,SF-M26,SF
100,3,SF-M25,SF
98,3,SF-M22-2,SF
97,3,SF-M22-1,SF
96,3,SF-M21,SF
95,3,SF-M20,SF
93,3,SF-L30-1,SF
92,3,SF-L29,SF
91,3,SF-L28,SF
90,3,SF-L27,SF
89,3,SF-L26,SF
88,3,SF-L25,SF
87,3,SF-L24,SF
86,3,SF-L21,SF
85,3,SF-L20,SF
84,3,SF-L19,SF
81,3,SF-K29-1,SF
79,3,SF-K27,SF
53,3,SF-J18,SF
52,3,SF-J17,SF
51,3,SF-J15,SF
22,3,SF-F29,SF
21,3,SF-F28-2,SF
20,3,SF-F28-1,SF
19,3,SF-F27,SF
17,3,SF-E29-3,SF
16,3,SF-E29-2,SF
15,3,SF-E29-1,SF
14,3,SF-E28,SF
13,3,SF-E27,SF
12,3,SF-D29,SF
11,3,SF-D28,SF
10,3,SF-D27,SF
9,3,SF-C28-2,SF
8,3,SF-C28-1,SF
6,3,SF-A27,SF
5,3,SF-H26,SF
4,3,SF-G26,SF
23,3,SF-F30-1,SF
24,3,SF-F30-2,SF
25,3,SF-G28-1,SF
26,3,SF-G29-2,SF
50,3,SF-I30,SF
49,3,SF-I29-2,SF
47,3,SF-I28,SF
44,3,SF-I25,SF
43,3,SF-I24,SF
42,3,SF-I23-2,SF
41,3,SF-I23-1,SF
39,3,SF-I19,SF
102,3,SF-M27,SF
38,3,SF-H30,SF
36,3,SF-H28,SF
34,3,SF-H25,SF
33,3,SF-H24,SF
31,3,SF-G19,SF
30,3,SF-J29,SF
29,3,SF-H18,SF
28,3,SF-G30-2,SF
27,3,SF-G30-1,SF
37,3,SF-H29,SF
104,3,SF-M30,SF
525,3,SF-G8,SF
139,3,SF-R24,SF
115,3,SF-N28,SF
116,3,SF-N29,SF
118,3,SF-O18,SF
524,3,SF-J5,SF
120,3,SF-O21,SF
121,3,SF-O22,SF
122,3,SF-O23,SF
123,3,SF-O24,SF
124,3,SF-O25-1,SF
125,3,SF-O25-2,SF
126,3,SF-O30,SF
127,3,SF-P22,SF
129,3,SF-P24,SF
114,3,SF-N27,SF
130,3,SF-P30,SF
132,3,SF-Q21-2,SF
133,3,SF-Q22-1,SF
134,3,SF-Q22-2,SF
137,3,SF-R19,SF
138,3,SF-R20,SF
140,3,SF-S21,SF
141,3,SF-S22-1,SF
142,3,SF-S22-2,SF
144,3,SF-S24,SF
145,3,SF-T20,SF
146,3,SF-T21,SF
147,3,SF-T22,SF
223,3,SF-N22-1B,SF
131,3,SF-Q21-1,SF
113,3,SF-N25,SF
119,3,SF-O19,SF
109,3,SF-N22-2,SF
105,3,SF-N20-1,SF
112,3,SF-N24-2,SF
107,3,SF-N21,SF
108,3,SF-N22-1A,SF
110,3,SF-N23,SF
106,3,SF-N20-2,SF
491,5,SJ-L9-2,SJ
286,5,SJ-N12-1,SJ
35,5,SJ-M6,SJ
276,5,SJ-K5,SJ
277,5,SJ-K6,SJ
283,5,SJ-M8-2,SJ
306,5,SJ-L10,SJ
310,5,SJ-M10-2,SJ
281,5,SJ-M11-3,SJ
311,5,SJ-M10-3,SJ
312,5,SJ-M7-1,SJ
313,5,SJ-M8,SJ
314,5,SJ-M9-2,SJ
275,5,SJ-K11,SJ
316,5,SJ-N10-2,SJ
280,5,SJ-M11-2,SJ
282,5,SJ-M9-1,SJ
287,5,SJ-O9,SJ
290,5,SJ-I9,SJ
289,5,SJ-I10,SJ
307,5,SJ-L7-1,SJ
304,5,SJ-J10,SJ
303,5,SJ-H9,SJ
301,5,SJ-Q9,SJ
300,5,SJ-Q8,SJ
299,5,SJ-Q11,SJ
298,5,SJ-P9,SJ
297,5,SJ-P8,SJ
288,5,SJ-H10,SJ
296,5,SJ-P10,SJ
494,5,SJ-M6-2,SJ
308,5,SJ-L9,SJ
295,5,SJ-O11,SJ
294,5,SJ-O10,SJ
292,5,SJ-J9,SJ
291,5,SJ-J8,SJ
309,5,SJ-M10-1,SJ
305,5,SJ-K9,SJ
495,5,SJ-L11,SJ
317,5,SJ-N11,SJ
391,5,SJ-G10,SJ
208,5,SJ-N10-1,SJ
416,5,SJ-N6,SJ
415,5,SJ-P7,SJ
278,5,SJ-L7-2,SJ
407,5,SJ-P6,SJ
406,5,SJ-O4,SJ
405,5,SJ-N5,SJ
404,5,SJ-M14,SJ
403,5,SJ-H12,SJ
402,5,SJ-H11,SJ
401,5,SJ-D9,SJ
388,5,SJ-J12-2,SJ
397,5,SJ-E10,SJ
396,5,SJ-C9,SJ
395,5,SJ-F10,SJ
394,5,SJ-J12-1,SJ
393,5,SJ-I5,SJ
392,5,SJ-E9,SJ
417,5,SJ-M5,SJ
318,5,SJ-N9,SJ
418,5,SJ-L13,SJ
422,5,SJ-J6,SJ
476,5,SJ-N14-2,SJ
475,5,SJ-N14,SJ
327,5,SJ-N10-3,SJ
473,5,SJ-Q4,SJ
472,5,SJ-N7,SJ
470,5,SJ-L12,SJ
341,5,SJ-M10-4,SJ
389,5,SJ-I11,SJ
357,5,SJ-K10,SJ
444,5,SJ-G15,SJ
443,5,SJ-Q10,SJ
442,5,SJ-H17,SJ
427,5,SJ-N5-2,SJ
426,5,SJ-M4,SJ
425,5,SJ-Q5,SJ
378,5,SJ-J11,SJ
423,5,SJ-R11,SJ
421,5,SJ-I14,SJ
279,5,SJ-M11-1,SJ
